necta,subdivision_name,fips_state,fips_county,fips_subdivision
Micropolitan NECTA,Orange town,25,011,51265
Micropolitan NECTA,Warwick town,25,011,73265
Micropolitan NECTA,Athol town,25,027,02480
Micropolitan NECTA,Royalston town,25,027,58580
Micropolitan NECTA,Augusta city,23,011,02100
Micropolitan NECTA,Belgrade town,23,011,04020
Micropolitan NECTA,Chelsea town,23,011,12350
Micropolitan NECTA,China town,23,011,12735
Micropolitan NECTA,Farmingdale town,23,011,24670
Micropolitan NECTA,Gardiner city,23,011,27085
Micropolitan NECTA,Hallowell city,23,011,30550
Micropolitan NECTA,Manchester town,23,011,43080
Micropolitan NECTA,Mount Vernon town,23,011,47770
Micropolitan NECTA,Pittston town,23,011,59110
Micropolitan NECTA,Randolph town,23,011,61700
Micropolitan NECTA,Readfield town,23,011,62190
Micropolitan NECTA,Rome town,23,011,63835
Micropolitan NECTA,Sidney town,23,011,68385
Micropolitan NECTA,Vassalboro town,23,011,78745
Micropolitan NECTA,West Gardiner town,23,011,82945
Micropolitan NECTA,Windsor town,23,011,86165
Micropolitan NECTA,Winthrop town,23,011,86970
Micropolitan NECTA,Somerville town,23,015,69645
Micropolitan NECTA,Whitefield town,23,015,85010
Micropolitan NECTA,Palermo town,23,027,56450
Metropolitan NECTA,Amherst town,23,009,01185
Metropolitan NECTA,Aurora town,23,009,02165
Metropolitan NECTA,Dedham town,23,009,16935
Metropolitan NECTA,Alton town,23,019,01115
Metropolitan NECTA,Argyle unorganized territory,23,019,01500
Metropolitan NECTA,Bangor city,23,019,02795
Metropolitan NECTA,Bradford town,23,019,06575
Metropolitan NECTA,Bradley town,23,019,06680
Metropolitan NECTA,Brewer city,23,019,06925
Metropolitan NECTA,Burlington town,23,019,09200
Metropolitan NECTA,Carmel town,23,019,10670
Metropolitan NECTA,Charleston town,23,019,12105
Metropolitan NECTA,Clifton town,23,019,13365
Metropolitan NECTA,Corinna town,23,019,14310
Metropolitan NECTA,Corinth town,23,019,14380
Metropolitan NECTA,Dixmont town,23,019,17950
Metropolitan NECTA,East Central Penobscot unorganized territory,23,019,19868
Metropolitan NECTA,Eddington town,23,019,22535
Metropolitan NECTA,Edinburg town,23,019,22710
Metropolitan NECTA,Enfield town,23,019,23620
Metropolitan NECTA,Etna town,23,019,23865
Metropolitan NECTA,Exeter town,23,019,24110
Metropolitan NECTA,Garland town,23,019,27190
Metropolitan NECTA,Glenburn town,23,019,27645
Metropolitan NECTA,Greenbush town,23,019,29185
Metropolitan NECTA,Hampden town,23,019,30795
Metropolitan NECTA,Hermon town,23,019,32510
Metropolitan NECTA,Holden town,23,019,33490
Metropolitan NECTA,Howland town,23,019,34190
Metropolitan NECTA,Hudson town,23,019,34365
Metropolitan NECTA,Kenduskeag town,23,019,36325
Metropolitan NECTA,Lagrange town,23,019,37760
Metropolitan NECTA,Levant town,23,019,38705
Metropolitan NECTA,Maxfield town,23,019,44340
Metropolitan NECTA,Milford town,23,019,45670
Metropolitan NECTA,Newburgh town,23,019,48505
Metropolitan NECTA,Old Town city,23,019,55225
Metropolitan NECTA,Orono town,23,019,55565
Metropolitan NECTA,Orrington town,23,019,55680
Metropolitan NECTA,Passadumkeag town,23,019,57045
Metropolitan NECTA,Penobscot Indian Island Reservation,23,019,57936
Metropolitan NECTA,Plymouth town,23,019,59950
Metropolitan NECTA,Seboeis plantation,23,019,67160
Metropolitan NECTA,Stetson town,23,019,74055
Metropolitan NECTA,Veazie town,23,019,78780
Metropolitan NECTA,Lake View plantation,23,021,37970
Metropolitan NECTA,Medford town,23,021,44830
Metropolitan NECTA,Southeast Piscataquis unorganized territory,23,021,70655
Metropolitan NECTA,Winterport town,23,027,86760
Metropolitan NECTA,Barnstable Town city,25,001,03690
Metropolitan NECTA,Bourne town,25,001,07175
Metropolitan NECTA,Brewster town,25,001,07980
Metropolitan NECTA,Chatham town,25,001,12995
Metropolitan NECTA,Dennis town,25,001,16775
Metropolitan NECTA,Eastham town,25,001,19295
Metropolitan NECTA,Falmouth town,25,001,23105
Metropolitan NECTA,Harwich town,25,001,29020
Metropolitan NECTA,Mashpee town,25,001,39100
Metropolitan NECTA,Orleans town,25,001,51440
Metropolitan NECTA,Provincetown town,25,001,55500
Metropolitan NECTA,Sandwich town,25,001,59735
Metropolitan NECTA,Truro town,25,001,70605
Metropolitan NECTA,Wellfleet town,25,001,74385
Metropolitan NECTA,Yarmouth town,25,001,82525
Metropolitan NECTA,Marion town,25,023,38540
Metropolitan NECTA,Wareham town,25,023,72985
Micropolitan NECTA,Orange town,50,017,53425
Micropolitan NECTA,Washington town,50,017,76750
Micropolitan NECTA,Williamstown town,50,017,84175
Micropolitan NECTA,Barre city,50,023,03175
Micropolitan NECTA,Barre town,50,023,03250
Micropolitan NECTA,Berlin town,50,023,05650
Micropolitan NECTA,Calais town,50,023,11350
Micropolitan NECTA,East Montpelier town,50,023,21925
Micropolitan NECTA,Marshfield town,50,023,43600
Micropolitan NECTA,Middlesex town,50,023,44500
Micropolitan NECTA,Montpelier city,50,023,46000
Micropolitan NECTA,Plainfield town,50,023,55825
Micropolitan NECTA,Woodbury town,50,023,85525
Micropolitan NECTA,Worcester town,50,023,86125
Micropolitan NECTA,Bennington town,50,003,04825
Micropolitan NECTA,Pownal town,50,003,57025
Micropolitan NECTA,Shaftsbury town,50,003,63550
Micropolitan NECTA,Woodford town,50,003,85675
